City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Humidity,Wind Speed
berdigestyakh,88,ru,96,62.1,126.7,51.37,96,3.69
jamestown,0,sh,58,-33.21,138.6,45.79,58,8.14
avera,1,pf,52,33.19,-82.53,89.44,52,6.93
sitka,6,us,42,37.17,-99.65,87.01,42,17.0
provideniya,98,ru,81,64.42,-173.23,39.85,81,12.59
port blair,100,in,83,11.67,92.75,81.61,83,24.94
henties bay,72,na,91,-22.12,14.28,55.0,91,5.99
hilo,1,us,61,19.71,-155.08,75.45,61,5.82
beringovskiy,100,ru,91,63.05,179.32,42.37,91,12.84
jumla,8,np,94,29.28,82.18,53.17,94,4.03
khatanga,97,ru,53,71.98,102.47,69.73,53,13.65
ponta do sol,38,cv,51,-20.63,-46.0,75.31,51,6.96
cherskiy,2,ru,36,68.75,161.3,65.41,36,3.56
ugoofaaru,72,mv,76,5.67,73.0,83.77,76,11.92
tilichiki,81,ru,94,60.47,166.1,47.41,94,0.36
zhigansk,75,ru,65,66.77,123.37,66.13,65,13.22
genhe,44,cn,99,50.78,121.52,51.55,99,2.89
bereda,0,so,60,43.27,-7.54,68.95,60,6.93
victoria,75,sc,88,5.28,115.24,80.74,88,4.63
bilibino,2,ru,38,68.06,166.44,52.81,38,4.83
barrow,16,us,40,-38.31,-60.23,50.47,40,21.32
norman wells,90,ca,93,65.28,-126.83,51.8,93,16.11
hobart,0,au,75,-42.88,147.33,42.3,75,8.05
busselton,56,au,83,-33.64,115.35,54.97,83,24.81
allonnes,0,fr,58,47.97,0.16,79.95,58,6.93
berlevag,75,no,66,70.86,29.09,50.56,66,19.46
tonekabon,40,ir,88,36.82,50.88,82.4,88,3.67
tiksi,51,ru,59,71.64,128.87,52.09,59,3.58
san ramon,40,bo,74,12.92,-85.84,78.8,74,13.87
jiangyou,88,cn,97,31.78,104.73,61.99,97,1.45
polyarnyy,0,ru,54,69.2,33.45,55.4,54,4.47
bethel,90,us,87,60.79,-161.76,58.51,87,4.7
weihai,100,cn,86,37.5,122.11,67.57,86,8.68
dikson,0,ru,87,73.51,80.55,31.75,87,11.81
constitucion,40,mx,31,23.99,-104.67,79.32,31,9.17
mikhaylovskoye,53,ru,65,43.1,44.64,78.3,65,6.71
lompoc,90,us,77,34.64,-120.46,61.5,77,4.7
lorengau,19,pg,84,-2.02,147.27,79.27,84,4.36
kodiak,1,us,22,39.95,-94.76,85.19,22,10.29
baruun-urt,83,mn,84,46.68,113.28,61.63,84,7.67
yazman,0,pk,26,36.74,38.46,94.03,26,14.23
kamenka,31,ru,72,53.19,44.05,58.21,72,5.68
saskylakh,83,ru,52,71.97,114.09,68.83,52,3.78
new norfolk,0,au,75,-42.78,147.06,42.31,75,8.05
lethbridge,75,ca,48,49.69,-112.85,63.77,48,3.36
port alfred,99,za,93,-33.59,26.89,57.99,93,10.0
medina del campo,0,es,53,41.31,-4.92,80.29,53,11.41
tuatapere,78,nz,83,-46.13,167.69,44.01,83,5.99
basco,1,ph,48,40.33,-91.2,85.21,48,19.46
punta arenas,20,cl,64,-53.16,-70.91,34.74,64,10.29
seddon,0,nz,89,-41.67,174.07,34.05,89,5.68
kande,100,tg,96,0.3,32.05,65.05,96,2.86
madingou,1,cg,61,-4.17,13.56,76.39,61,5.44
tuktoyaktuk,75,ca,80,69.44,-133.03,39.2,80,19.46
clyde river,75,ca,80,70.47,-68.59,41.0,80,8.05
morris,40,ca,48,41.36,-88.42,83.62,48,17.22
sao filipe,2,cv,82,14.9,-24.5,74.95,82,19.84
hithadhoo,56,mv,67,-0.6,73.08,84.85,67,3.62
rio grande,90,br,87,-32.03,-52.1,55.4,87,17.22
wanning,4,cn,54,48.64,13.53,82.42,54,4.7
katherine,58,au,48,-14.47,132.26,44.6,48,5.82
terra santa,32,br,55,-2.1,-56.49,89.71,55,5.1
ritto,73,jp,41,35.04,135.98,67.64,41,1.1
mar del plata,1,ar,35,-46.43,-67.52,42.73,35,13.38
aksarka,23,ru,82,66.56,67.8,39.67,82,6.06
kapit,94,my,96,2.02,112.94,74.05,96,0.6
coquimbo,0,cl,58,-29.95,-71.34,57.2,58,11.41
san vicente,20,ph,47,13.64,-88.78,90.5,47,10.29
mayumba,93,ga,83,-3.44,10.65,74.95,83,10.4
georgetown,40,sh,70,6.8,-58.16,86.97,70,11.41
pevek,17,ru,77,69.7,170.27,35.53,77,19.04
herat,0,af,12,34.35,62.22,82.4,12,5.82
nikolskoye,0,ru,39,59.7,30.79,64.54,39,6.71
nanga eboko,82,cm,97,4.68,12.37,70.63,97,5.23
la florida,90,hn,62,-26.82,-65.1,51.8,62,4.7
neiafu,75,to,88,-18.65,-173.98,75.2,88,8.05
husavik,100,is,66,50.56,-96.99,73.99,66,5.01
nordfjordeid,75,no,93,61.91,5.99,55.96,93,4.7
mahebourg,75,mu,78,-20.41,57.7,74.53,78,14.99
kijang,0,id,77,35.24,129.21,66.2,77,4.7
castro,90,cl,93,-42.48,-73.76,44.6,93,11.41
uray,72,ru,60,60.13,64.8,54.43,60,5.84
esperance,20,au,55,10.24,-61.45,88.25,55,12.75
mehamn,75,no,71,71.03,27.85,50.61,71,18.34
hasaki,20,jp,100,35.73,140.83,62.74,100,3.36
zhangjiakou,53,cn,62,40.77,114.88,63.79,62,6.42
awbari,0,ly,10,26.59,12.77,97.99,10,11.86
nyurba,0,ru,93,63.29,118.35,56.77,93,3.36
kropachevo,0,ru,90,55.01,57.99,51.01,90,2.75
mwene-ditu,17,cd,34,-7.01,23.45,71.17,34,2.1
libourne,0,fr,58,44.91,-0.24,83.68,58,9.17
miramar,0,mx,61,10.09,-84.73,79.79,61,9.17
baie-comeau,1,ca,55,49.22,-68.15,64.08,55,8.05
ostrovnoy,88,ru,69,68.05,39.51,47.05,69,3.89
chuy,100,uy,73,-33.69,-53.46,52.27,73,21.47
yalvac,0,tr,53,38.3,31.18,67.75,53,2.71
leczyca,0,pl,45,52.06,19.2,84.04,45,2.24
yining,28,cn,98,29.04,114.56,69.19,98,0.11
ilovlya,0,ru,44,49.31,43.98,77.0,44,6.71
thompson,90,ca,82,55.74,-97.86,62.6,82,5.82
adrar,0,dz,4,27.87,-0.29,114.8,4,13.87
orbetello,0,it,36,42.44,11.21,83.12,36,10.29
la asuncion,20,ve,43,-1.64,-78.74,70.59,43,9.17
butembo,100,cd,97,0.12,29.29,61.27,97,2.04
moindou,0,nc,100,-21.69,165.68,66.2,100,4.7
iqaluit,75,ca,66,63.75,-68.52,50.0,66,5.82
erfurt,0,de,43,50.98,11.03,84.76,43,5.82
sabha,0,ly,11,27.03,14.43,98.17,11,2.64
suhbaatar,89,mn,80,50.23,106.21,51.73,80,1.81
la plata,0,us,43,-34.92,-57.95,52.32,43,19.46
adre,73,td,21,13.47,22.2,91.33,21,4.25
ixtapa,20,mx,45,20.71,-105.21,87.89,45,11.41
geraldton,90,au,100,49.72,-86.95,57.2,100,9.17
college,1,us,59,64.86,-147.8,65.12,59,2.68
kaoma,0,zm,34,-14.8,24.8,63.97,34,4.32
saint-philippe,90,re,93,45.36,-73.48,66.0,93,9.17
atuona,15,pf,75,-9.8,-139.03,81.25,75,21.56
ancud,90,cl,93,-41.87,-73.83,44.6,93,11.41
saldanha,100,za,55,41.42,-6.55,72.43,55,2.26
sabang,72,id,81,13.72,123.58,81.79,81,7.25
goderich,24,sl,69,43.74,-81.71,70.0,69,14.0
sisimiut,100,gl,93,66.94,-53.67,38.77,93,9.44
birao,36,cf,56,10.3,22.78,86.11,56,7.76
chandil,98,in,53,22.96,86.05,90.61,53,6.31
yaan,80,cn,89,7.38,8.57,75.13,89,7.02
aklavik,75,ca,87,68.22,-135.01,41.74,87,11.41
santo tomas,100,pe,91,15.88,120.59,78.19,91,2.17
srednekolymsk,15,ru,42,67.46,153.71,68.11,42,3.65
cape town,0,za,71,-33.93,18.42,57.54,71,11.41
codrington,90,ag,93,-28.95,153.24,55.42,93,5.79
vredendal,0,za,72,-31.68,18.49,58.03,72,6.26
lahaina,75,us,74,20.87,-156.68,79.86,74,11.65
nouadhibou,0,mr,54,20.93,-17.03,80.6,54,18.34
verkhovyna,27,ua,98,48.15,24.83,64.69,98,2.73
estelle,40,us,58,32.87,-97.01,89.11,58,9.17
pangnirtung,20,ca,66,66.15,-65.72,48.2,66,10.29
batagay,37,ru,66,67.65,134.64,60.37,66,1.05
luwuk,100,id,98,-0.95,122.79,64.51,98,4.36
atambua,18,id,67,-9.11,124.89,75.67,67,19.53
choma,0,zm,50,-16.81,26.98,61.45,50,8.23
gat,1,ly,56,14.69,-16.54,82.51,56,20.29
alice springs,0,au,44,-23.7,133.88,37.4,44,5.82
mishkino,75,ru,55,56.22,46.62,60.8,55,6.71
tirumullaivasal,100,in,62,11.24,79.84,86.65,62,16.22
senneterre,75,ca,88,48.39,-77.24,66.2,88,12.75
dvinskoy,96,ru,61,62.16,45.12,49.93,61,2.04
jijiga,9,et,87,9.35,42.8,60.91,87,6.67
diapaga,1,bf,39,12.07,1.79,93.13,39,5.48
sioux lookout,75,ca,44,50.1,-91.92,73.22,44,14.99
hami,100,cn,31,42.84,93.51,72.97,31,14.03
yongchang,100,cn,96,38.06,102.59,59.83,96,5.53
barbastro,2,es,33,42.04,0.13,87.71,33,17.22
tigre,0,pa,53,-34.42,-58.58,52.43,53,21.92
jawa,4,jo,23,12.81,11.04,98.89,23,5.3
kirksville,1,us,51,40.19,-92.58,83.52,51,12.75
kamyaran,0,ir,14,34.8,46.94,84.2,14,4.7
richards bay,92,za,70,-28.77,32.06,69.37,70,7.52
lata,74,sb,90,30.78,78.62,40.21,90,0.22
tautira,40,pf,61,-17.73,-149.15,77.0,61,5.82
ous,37,ru,65,60.91,61.52,48.67,65,5.46
svetlogorsk,20,ru,55,53.14,59.15,60.8,55,11.18
kathu,39,th,40,-27.7,23.05,46.99,40,5.64
ikom,100,ng,98,5.96,8.72,72.79,98,1.59
bayji,0,iq,10,34.93,43.49,100.87,10,14.47
cabo san lucas,5,mx,65,22.89,-109.91,84.04,65,8.05
santa maria,75,cv,82,-29.69,-53.81,55.4,82,13.87
beidao,79,cn,88,34.57,105.89,62.35,88,3.76
mitu,0,co,29,36.2,46.09,73.87,29,2.73
shuangcheng,0,cn,53,45.37,126.3,77.0,53,20.13
jaruco,40,cu,59,23.04,-82.01,90.63,59,11.41
kulhudhuffushi,83,mv,78,6.62,73.07,83.59,78,12.84
shingu,96,jp,79,33.72,135.99,58.03,79,3.8
kochi,40,in,88,9.96,76.25,83.71,88,4.7
toktogul,24,kg,47,41.87,72.95,52.81,47,8.9
imeni poliny osipenko,8,ru,92,52.42,136.49,41.65,92,5.35
idah,99,ng,97,7.11,6.73,74.05,97,2.35
half moon bay,1,us,82,37.46,-122.43,69.91,82,6.93
wajima,0,jp,81,37.4,136.9,68.47,81,5.61
marsa matruh,40,eg,83,31.35,27.25,78.8,83,11.41
saint-junien,0,fr,42,45.89,0.9,83.57,42,3.36
xingyi,100,cn,97,24.19,102.82,61.09,97,2.89
narsaq,75,gl,42,60.91,-46.05,64.4,42,5.82
hit,0,iq,11,33.64,42.83,98.71,11,7.7
dhangadhi,43,np,74,28.7,80.57,78.01,74,5.75
monster,100,nl,69,52.03,4.17,77.65,69,6.93
carnarvon,0,au,28,-30.97,22.13,50.65,28,8.95
batticaloa,100,lk,72,7.71,81.69,80.35,72,2.35
yuyao,90,cn,94,30.04,121.15,72.3,94,2.24
panzhihua,98,cn,88,26.59,101.72,68.47,88,1.14
bubaque,0,gw,74,11.28,-15.83,79.81,74,15.61
koslan,41,ru,66,63.46,48.9,47.41,66,1.43
mackenzie,90,ca,77,55.34,-123.09,59.0,77,6.93
kormilovka,75,ru,73,55.0,74.1,69.8,73,6.71
luderitz,0,na,87,-26.65,15.16,55.4,87,13.87
zhanaozen,0,kz,17,43.35,52.85,85.39,17,4.43
mega,8,et,62,4.06,38.32,73.69,62,12.77
flinders,75,au,100,-34.58,150.85,52.32,100,5.82
quincy,20,us,52,30.59,-84.58,93.27,52,9.17
emba,0,kz,83,34.81,32.42,77.79,83,8.05
nizhniy tsasuchey,90,ru,87,50.52,115.13,62.89,87,5.68
vysokogornyy,96,ru,97,50.1,139.13,48.31,97,5.14
gladstone,75,au,82,-23.84,151.26,61.27,82,6.93
oyama,20,jp,93,36.31,139.8,69.53,93,1.61
litovko,100,ru,80,49.24,135.18,52.45,80,4.09
tutoia,20,br,55,-2.76,-42.27,91.4,55,12.75
marawi,100,sd,92,8.0,124.29,75.99,92,5.99
kahului,20,us,69,20.89,-156.47,79.61,69,3.36
waingapu,10,id,83,-9.65,120.26,66.49,83,11.3
bangkalan,2,id,87,-7.05,112.74,74.23,87,2.86
kharovsk,16,ru,64,59.95,40.21,54.07,64,1.74
east london,90,za,93,-33.02,27.91,57.2,93,11.41
tosya,46,tr,75,41.02,34.04,65.95,75,4.32
surt,0,ly,85,31.21,16.59,77.65,85,14.94
ulaanbaatar,20,mn,71,47.92,106.92,50.0,71,2.24
kungurtug,49,ru,89,50.6,97.53,36.43,89,2.53
urengoy,48,ru,62,65.96,78.37,45.61,62,6.35
makakilo city,75,us,100,21.35,-158.09,76.77,100,9.17
bilma,61,ne,17,18.69,12.92,99.07,17,11.97
columbus,40,us,55,32.46,-84.99,90.01,55,8.05
kanker,21,in,79,20.27,81.49,79.81,79,3.44
bambui,100,br,98,6.01,10.23,63.07,98,4.92
toora-khem,97,ru,96,52.47,96.11,43.99,96,7.02
severo-kurilsk,100,ru,98,50.68,156.12,43.27,98,12.26
yenagoa,95,ng,88,4.92,6.26,75.13,88,6.35
kroya,2,id,84,-6.5,108.06,70.45,84,5.01
guerrero negro,97,mx,81,27.97,-114.04,63.61,81,6.26
borogontsy,18,ru,84,62.67,131.17,52.63,84,4.5
dhidhdhoo,91,mv,77,6.88,73.1,83.59,77,12.71
moussoro,67,td,33,13.64,16.49,93.85,33,16.58
nalut,12,ly,18,31.86,10.98,96.55,18,20.27
belaya gora,0,ru,48,68.54,146.19,68.11,48,3.76
borodino,100,ru,95,55.9,94.89,53.53,95,13.49
roald,75,no,87,62.58,6.12,54.46,87,11.41
middelburg,0,za,33,-25.77,29.46,49.93,33,4.18
ust-tsilma,93,ru,55,65.44,52.15,51.55,55,5.5
kommunisticheskiy,82,ru,62,61.68,64.48,51.55,62,3.53
seymchan,65,ru,83,62.93,152.39,52.45,83,7.58
laguna,5,br,20,27.52,-110.01,93.2,20,10.29
dunedin,0,nz,55,-45.87,170.5,48.99,55,11.01
agra,75,in,66,27.18,78.01,91.4,66,5.82
evensk,79,ru,71,61.92,159.24,55.87,71,6.06
tura,100,ru,86,25.52,90.21,80.53,86,11.01
dindori,17,in,55,22.94,81.08,85.03,55,4.0
saint-paul,71,re,32,45.22,1.9,82.87,32,10.29
egvekinot,15,ru,77,66.32,-179.17,35.17,77,7.2
arraial do cabo,0,br,65,-22.97,-42.02,83.32,65,13.87
springbok,0,za,94,-29.67,17.88,46.51,94,1.07
kyshtovka,44,ru,96,56.56,76.62,60.91,96,8.21
san rafael,0,ph,23,-34.61,-68.33,49.93,23,17.16
leverkusen,0,de,34,51.03,6.99,91.09,34,8.05
matay,0,eg,14,28.42,30.79,93.85,14,12.24
teseney,60,er,27,15.11,36.66,96.91,27,2.86
turukhansk,34,ru,72,65.8,87.96,47.95,72,10.18
voyinka,38,ua,73,45.87,33.99,78.37,73,9.66
yarmouth,40,ca,68,50.71,-1.5,71.15,68,1.12
opuwo,0,na,60,-18.06,13.84,54.07,60,4.68
cheremukhovo,83,ru,83,56.23,46.23,56.59,83,5.53
kruisfontein,60,za,93,-34.0,24.73,51.73,93,10.92
pokaran,1,in,28,26.93,71.92,99.61,28,5.57
gizo,0,sb,61,31.8,34.94,79.54,61,4.7
mecca,100,sa,32,21.43,39.83,92.41,32,3.83
viransehir,0,tr,12,37.24,39.76,87.37,12,2.59
novyy urengoy,71,ru,64,66.08,76.63,43.99,64,7.61
lasa,0,cn,83,34.92,32.53,77.85,83,8.05
vytegra,68,ru,70,61.01,36.45,55.15,70,4.94
havre-saint-pierre,20,ca,37,50.23,-63.6,68.0,37,16.11
katsuura,75,jp,88,33.93,134.5,69.96,88,12.75
solnechnyy,61,ru,87,50.72,136.64,42.73,87,4.85
vestmannaeyjar,90,is,100,63.44,-20.27,51.8,100,17.22
ajaccio,0,fr,69,41.93,8.74,83.05,69,3.36
ostersund,0,se,76,63.18,14.64,56.44,76,8.05
nanortalik,90,gl,90,60.14,-45.24,41.29,90,4.12
merauke,49,id,82,-8.49,140.4,77.65,82,20.74
khromtau,89,kz,71,50.26,58.44,65.77,71,14.54
ternate,75,id,88,14.29,120.72,80.55,88,5.82
muli,100,mv,71,22.62,71.45,84.49,71,13.38
omsukchan,36,ru,74,62.53,155.8,48.13,74,2.89
barnbach,20,at,65,47.03,15.85,77.41,65,4.7
paracuru,20,br,66,-3.41,-39.03,82.38,66,14.99
baykit,100,ru,53,61.68,96.39,58.93,53,2.04
fonte boa,100,br,67,-2.51,-66.09,83.41,67,3.89
hinton,100,ca,94,53.4,-117.57,41.29,94,3.58
torbay,75,ca,76,47.66,-52.73,56.19,76,9.17
bandipur,81,in,95,11.67,76.63,64.87,95,6.06
mangrol,46,in,35,25.33,76.51,97.63,35,6.33
batagay-alyta,32,ru,81,67.8,130.41,52.45,81,1.05
ust-nera,0,ru,63,64.57,143.24,50.83,63,2.28
petropavlovka,48,ru,98,50.61,105.32,39.31,98,5.82
port-cartier,20,ca,45,50.03,-66.88,66.2,45,8.05
namatanai,100,pg,82,-3.66,152.44,79.27,82,7.56
ampanihy,9,mg,88,-24.69,44.75,62.89,88,2.89
ilulissat,75,gl,57,69.22,-51.1,50.0,57,6.93
isangel,75,vu,83,-19.55,169.27,77.0,83,16.11
tokur,92,ru,96,53.13,132.9,40.21,96,4.79
qaqortoq,75,gl,42,60.72,-46.03,64.4,42,5.82
hangu,20,ro,35,33.53,71.06,89.6,35,6.93
lake havasu city,1,us,7,34.47,-114.34,97.75,7,13.87
nemuro,1,jp,94,43.32,145.57,51.19,94,11.34
dasoguz,0,tm,30,41.84,59.97,81.88,30,4.7
khatra,65,in,65,22.98,86.85,87.01,65,10.07
cayenne,40,gf,78,4.94,-52.33,82.4,78,6.93
kamarion,0,gr,74,36.8,25.82,78.42,74,10.29
gangelt,70,de,45,50.99,6.0,89.24,45,4.7
agadez,75,ne,35,16.97,7.99,87.8,35,10.29
cidreira,100,br,60,-30.17,-50.22,74.59,60,13.94
aksu,0,cn,82,52.04,76.93,64.4,82,6.71
kyren,99,ru,93,51.68,102.13,37.87,93,3.6
kudahuvadhoo,96,mv,73,2.67,72.89,84.49,73,7.0
marsaxlokk,0,mt,69,35.84,14.54,79.99,69,5.82
treuchtlingen,75,de,48,48.96,10.91,85.62,48,3.36
albion,1,mu,57,41.69,-98.0,80.04,57,4.7
bartica,75,gy,66,6.41,-58.62,87.8,66,13.87
nichinan,90,jp,88,31.65,131.31,71.6,88,8.05
sigli,100,id,85,5.38,95.96,73.51,85,2.35
skjervoy,75,no,100,70.03,20.97,50.97,100,12.75
alakurtti,60,ru,91,66.96,30.34,48.99,91,2.93
ruswil,0,ch,52,47.08,8.13,82.9,52,1.97
ketchikan,40,us,67,55.34,-131.65,64.54,67,14.99
wilmington,1,us,48,39.75,-75.55,84.49,48,6.93
byron bay,75,au,93,-28.65,153.62,56.37,93,5.82
voghera,0,it,43,44.99,9.01,86.85,43,4.7
marsabit,0,ke,38,2.34,37.99,86.65,38,18.63
caravelas,2,br,64,-17.73,-39.27,80.17,64,9.93
farrukhnagar,40,in,49,28.45,76.82,94.62,49,4.7
araouane,4,ml,6,18.9,-3.53,112.21,6,3.22
vostok,100,ru,97,46.45,135.83,61.27,97,3.4
marienburg,0,sr,38,52.12,9.98,85.44,38,3.36
ponnampet,90,in,100,12.15,75.93,75.2,100,2.24
harper,75,lr,42,30.3,-99.24,86.85,42,9.17
mahajanga,20,mg,88,-15.72,46.32,75.2,88,4.7
verkhnyaya sinyachikha,100,ru,97,57.98,61.67,50.11,97,7.25
kichmengskiy gorodok,55,ru,61,59.99,45.81,53.35,61,5.79
mount isa,0,au,26,-20.73,139.49,57.2,26,8.05
shache,100,cn,44,38.42,77.24,69.55,44,7.76
saint-augustin,0,ca,58,44.83,-0.61,81.84,58,9.17
bocs,0,hu,78,48.05,20.97,72.25,78,1.34
ossora,97,ru,76,59.24,163.07,52.45,76,3.53
salalah,75,om,89,17.01,54.1,84.2,89,9.17
malpe,75,in,94,13.35,74.72,78.8,94,3.36
nome,1,us,78,30.04,-94.42,78.33,78,5.82
qorveh,0,ir,15,35.17,47.8,75.31,15,8.16
gara,0,hu,74,46.03,19.04,78.8,74,4.7
umm lajj,0,sa,63,25.02,37.27,87.19,63,10.8
mago,100,ru,97,53.27,140.15,42.91,97,4.38
vanavara,0,ru,68,60.35,102.28,59.83,68,4.97
abu kamal,0,sy,12,34.45,40.92,98.71,12,6.82
kingsville,40,us,55,39.45,-76.42,85.39,55,10.29
crestview,75,us,52,30.76,-86.57,92.34,52,4.7
the valley,40,ai,66,18.22,-63.06,86.83,66,11.41
matara,0,lk,36,-13.74,-72.9,60.8,36,5.79
sohag,0,eg,18,26.55,31.7,98.6,18,9.17
beloha,0,mg,84,-25.17,45.06,63.61,84,4.43
yar-sale,82,ru,68,66.83,70.83,42.55,68,8.88
kitgum,99,ug,92,3.3,32.88,69.19,92,4.0
kysyl-syr,0,ru,97,63.9,122.77,55.33,97,4.27
palora,20,ec,45,-1.7,-77.97,81.88,45,5.82
carros,0,fr,48,43.78,7.19,81.84,48,3.36
okha,100,ru,96,53.59,142.95,41.29,96,17.72
aswan,0,eg,15,24.09,32.9,104.0,15,3.36
hamilton,75,bm,65,32.3,-64.78,81.28,65,11.41
blenheim,0,ca,89,-41.52,173.96,35.04,89,2.84
rumoi,33,jp,86,43.93,141.67,60.55,86,5.91
fortuna,0,us,73,38.18,-1.13,76.6,73,9.17
necochea,31,ar,68,-38.55,-58.74,50.0,68,15.99
suoyarvi,100,ru,90,62.08,32.35,52.27,90,6.17
qeshm,20,ir,84,26.96,56.27,89.6,84,6.93
vao,99,nc,53,59.1,26.19,60.01,53,7.23
nizhniy chir,99,ru,58,48.36,43.08,71.53,58,9.57
hoi an,20,vn,79,15.88,108.33,84.2,79,3.36
point pleasant,75,us,69,40.08,-74.07,83.26,69,10.29
teknaf,58,bd,82,20.86,92.31,84.85,82,10.31
ponta delgada,75,pt,72,37.73,-25.67,66.2,72,14.99
olinda,75,br,78,-2.03,-79.75,78.26,78,5.82
sai buri,97,th,94,6.7,101.62,77.11,94,2.44
puri,0,in,93,-7.54,112.45,70.27,93,6.13
roebourne,0,au,46,-20.77,117.15,65.41,46,2.75
shelburne,75,ca,60,44.08,-80.2,72.3,60,10.29
bangassou,92,cf,89,4.74,22.82,70.81,89,4.07
vernon,1,us,52,50.27,-119.27,67.57,52,14.99
hamada,95,jp,37,34.9,132.08,69.01,37,3.51
meyzieu,0,fr,36,45.78,5.0,86.58,36,5.82
jinotega,40,ni,74,13.09,-86.0,78.8,74,13.87
bukama,1,cd,34,-9.2,25.85,68.65,34,0.89
lagoa,0,pt,78,37.14,-8.45,70.92,78,12.75
sinnamary,7,gf,82,5.38,-52.96,80.71,82,15.05
tarija,84,bo,22,-21.53,-64.73,51.91,22,15.3
komsomolskiy,93,ru,88,67.55,63.78,38.23,88,12.12
tombouctou,0,ml,6,16.77,-3.01,110.59,6,10.94
kiunga,100,pg,99,-6.12,141.3,72.25,99,2.48
kotma,86,in,52,23.2,81.98,88.81,52,7.2
emerald,90,au,76,-23.53,148.16,53.29,76,9.17
grand gaube,75,mu,78,-20.01,57.66,74.66,78,14.99
longkou,100,cn,74,37.64,120.47,70.81,74,14.05
palmas bellas,75,pa,88,9.23,-80.09,76.28,88,7.63
rangoon,75,mm,83,16.81,96.16,80.6,83,3.36
pierre,1,us,46,44.37,-100.35,75.83,46,8.05
umarkot,10,in,50,25.37,69.74,92.05,50,18.21
